loss,u0_tank_oxidizer_mass,valve_flow_capacity_factor,injector_orifice_area,u0_fuel_grain_void_diameter,additional_fuel_grain_void_diameter,fuel_grain_length,nozzle_throat_diameter
0.10372765229060793,2.0012141737982345,5.843798583256262e-6,1.2012937585294745e-5,0.03559920572626204,0.00940858667716363,0.4922492060124931,0.018283582355762197
0.10372765229060793,2.0012141737982345,5.843798583256262e-6,1.2012937585294745e-5,0.03559920572626204,0.00940858667716363,0.4922492060124931,0.018283582355762197
0.10372765229060793,2.0012141737982345,5.843798583256262e-6,1.2012937585294745e-5,0.03559920572626204,0.00940858667716363,0.4922492060124931,0.018283582355762197
0.10372765229060793,2.0012141737982345,5.843798583256262e-6,1.2012937585294745e-5,0.03559920572626204,0.00940858667716363,0.4922492060124931,0.018283582355762197
0.10372765229060793,2.0012141737982345,5.843798583256262e-6,1.2012937585294745e-5,0.03559920572626204,0.00940858667716363,0.4922492060124931,0.018283582355762197
0.10372765229060793,2.0012141737982345,5.843798583256262e-6,1.2012937585294745e-5,0.03559920572626204,0.00940858667716363,0.4922492060124931,0.018283582355762197
0.10372765229060793,2.0012141737982345,5.843798583256262e-6,1.2012937585294745e-5,0.03559920572626204,0.00940858667716363,0.4922492060124931,0.018283582355762197
0.10372765229060793,2.0012141737982345,5.843798583256262e-6,1.2012937585294745e-5,0.03559920572626204,0.00940858667716363,0.4922492060124931,0.018283582355762197
0.10372765229060793,2.0012141737982345,5.843798583256262e-6,1.2012937585294745e-5,0.03559920572626204,0.00940858667716363,0.4922492060124931,0.018283582355762197
0.10372765229060793,2.0012141737982345,5.843798583256262e-6,1.2012937585294745e-5,0.03559920572626204,0.00940858667716363,0.4922492060124931,0.018283582355762197
0.10372765229060793,2.0012141737982345,5.843798583256262e-6,1.2012937585294745e-5,0.03559920572626204,0.00940858667716363,0.4922492060124931,0.018283582355762197
0.10372765229060793,2.0012141737982345,5.843798583256262e-6,1.2012937585294745e-5,0.03559920572626204,0.00940858667716363,0.4922492060124931,0.018283582355762197
0.10372765229060793,2.0012141737982345,5.843798583256262e-6,1.2012937585294745e-5,0.03559920572626204,0.00940858667716363,0.4922492060124931,0.018283582355762197
0.10372765229060793,2.0012141737982345,5.843798583256262e-6,1.2012937585294745e-5,0.03559920572626204,0.00940858667716363,0.4922492060124931,0.018283582355762197
0.10372765229060793,2.0012141737982345,5.843798583256262e-6,1.2012937585294745e-5,0.03559920572626204,0.00940858667716363,0.4922492060124931,0.018283582355762197
9.999999999946655e9,1.9565580529993085,1.7761640118828564e-5,2.4206155583400538e-5,0.04737693350151316,0.01615866337353617,0.27508198448469934,0.01877045453830667
2.423542101559059,2.006919508389675,7.239835487564393e-6,8.000791605914392e-6,0.02896156176435062,0.013116474428082302,0.8562739126675905,0.011143605641416613
2.423542101559059,2.006919508389675,7.239835487564393e-6,8.000791605914392e-6,0.02896156176435062,0.013116474428082302,0.8562739126675905,0.011143605641416613
2.423542101559059,2.006919508389675,7.239835487564393e-6,8.000791605914392e-6,0.02896156176435062,0.013116474428082302,0.8562739126675905,0.011143605641416613
2.423542101559059,2.006919508389675,7.239835487564393e-6,8.000791605914392e-6,0.02896156176435062,0.013116474428082302,0.8562739126675905,0.011143605641416613
2.423542101559059,2.006919508389675,7.239835487564393e-6,8.000791605914392e-6,0.02896156176435062,0.013116474428082302,0.8562739126675905,0.011143605641416613
2.423542101559059,2.006919508389675,7.239835487564393e-6,8.000791605914392e-6,0.02896156176435062,0.013116474428082302,0.8562739126675905,0.011143605641416613
2.423542101559059,2.006919508389675,7.239835487564393e-6,8.000791605914392e-6,0.02896156176435062,0.013116474428082302,0.8562739126675905,0.011143605641416613
2.423542101559059,2.006919508389675,7.239835487564393e-6,8.000791605914392e-6,0.02896156176435062,0.013116474428082302,0.8562739126675905,0.011143605641416613
2.423542101559059,2.006919508389675,7.239835487564393e-6,8.000791605914392e-6,0.02896156176435062,0.013116474428082302,0.8562739126675905,0.011143605641416613
2.423542101559059,2.006919508389675,7.239835487564393e-6,8.000791605914392e-6,0.02896156176435062,0.013116474428082302,0.8562739126675905,0.011143605641416613
