P_chamber_psia,OF_ratio,Isp_s,Cstar_m_s
250.0,12.10344827586207,274.94892604863765,1525.9480990648142
250.0,12.586206896551724,273.0812142704226,1518.462529083643
250.0,13.068965517241379,271.26732759138685,1511.1882115842043
250.0,13.551724137931036,269.5101561389002,1504.1180392204888
250.0,14.03448275862069,267.81073830386094,1497.2442065702658
250.0,14.517241379310345,266.16894600088517,1490.5588366078164
250.0,15.0,264.5838792702855,1484.054306939915
300.0,1.0,201.88473903020036,1109.4177169012316
300.0,1.4827586206896552,214.4443494753104,1183.7532403493678
300.0,1.9655172413793105,223.73729901547168,1245.8058665111212
300.0,2.4482758620689653,231.57139324215285,1305.5025034972664
300.0,2.931034482758621,238.19595828810435,1358.2273985061154
300.0,3.413793103448276,246.12289183321374,1423.1761980027466
300.0,3.896551724137931,255.97378994908064,1484.969407267412
300.0,4.379310344827586,264.53655390682377,1529.2655070089752
300.0,4.862068965517242,271.1087690058414,1561.4586448903854
300.0,5.344827586206897,276.1715514528961,1584.5652974167467
300.0,5.827586206896552,280.09286500528043,1600.0525098701225
300.0,6.310344827586207,283.08938210382547,1608.4322336696541
300.0,6.793103448275862,285.2974215031055,1610.4555282404112
300.0,7.275862068965518,286.81428871085285,1607.718990509794
300.0,7.758620689655173,287.70541451323896,1601.9998665014116
300.0,8.24137931034483,288.0000706639087,1594.6302420019656
300.0,8.724137931034484,287.67052589022126,1586.4367694114123
300.0,9.206896551724139,286.6243163384685,1577.8951728810164
300.0,9.689655172413794,284.974026804564,1569.272206468606
300.0,10.172413793103448,283.0705073323506,1560.715523944341
300.0,10.655172413793103,281.08480124252674,1552.3052458671812
300.0,11.13793103448276,279.085750968227,1544.0830990597178
300.0,11.620689655172415,277.10795446827046,1536.068792455831
300.0,12.10344827586207,275.17019511611005,1528.269227954486
300.0,12.586206896551724,273.282842008232,1520.6842521959375
300.0,13.068965517241379,271.4514436701245,1513.3097065246207
300.0,13.551724137931036,269.67863053066174,1506.1394663403623
300.0,14.03448275862069,267.9652046140874,1499.1663412351156
300.0,14.517241379310345,266.31083365842716,1492.383078932705
300.0,15.0,264.71444147723133,1485.782527936742
350.0,1.0,202.2037195036141,1111.361058810763
350.0,1.4827586206896552,214.80763262157117,1185.9674375472853
350.0,1.9655172413793105,224.07250070384464,1247.5008955426047
350.0,2.4482758620689653,231.8443016111171,1306.2651943648289
350.0,2.931034482758621,238.42038041401653,1358.5251243629073
350.0,3.413793103448276,246.2514669176365,1423.165448557619
350.0,3.896551724137931,256.007263493728,1484.9560438372355
350.0,4.379310344827586,264.5450687961741,1529.3054291265985
350.0,4.862068965517242,271.1263426205877,1561.6414157083975
350.0,5.344827586206897,276.20408080570354,1584.998129873965
350.0,5.827586206896552,280.146553726026,1600.8586438286848
350.0,6.310344827586207,283.1706756784273,1609.7075286799509
350.0,6.793103448275862,285.4113573371267,1612.1800454184975
350.0,7.275862068965518,286.96410062757707,1609.7701951490924
350.0,7.758620689655173,287.89331051500795,1604.243156764116
350.0,8.24137931034483,288.2280838362225,1596.9650490019555
350.0,8.724137931034484,287.9401366856072,1588.797429214443
350.0,9.206896551724139,286.9234721538064,1580.2404096875725
350.0,9.689655172413794,285.26502881823853,1571.5757998380623
350.0,10.172413793103448,283.33869270612524,1562.960586343821
350.0,10.655172413793103,281.3285670097895,1554.4808118584576
350.0,11.13793103448276,279.3066544683328,1546.1818962904854
350.0,11.620689655172415,277.30824258891136,1538.0861302138703
350.0,12.10344827586207,275.3521026706243,1530.202214508208
