P_chamber_pascals,OF_ratio,Isp_s,Cstar_m_s
300000.0,12.595959595959595,270.7801642926571,1495.1968142057538
300000.0,12.737373737373737,270.2990842494463,1493.2931628892322
300000.0,12.878787878787879,269.8210561173528,1491.4081693216601
300000.0,13.020202020202019,269.3461976336047,1489.5415029186543
300000.0,13.16161616161616,268.8746126028401,1487.6928347597607
300000.0,13.303030303030303,268.4063924177175,1485.8618385909988
300000.0,13.444444444444445,267.94161687037587,1484.0481916612182
300000.0,13.585858585858585,267.48035184128923,1482.2515648523233
300000.0,13.727272727272727,267.02266305889333,1480.471664772287
300000.0,13.868686868686869,266.56859754749036,1478.708173368551
300000.0,14.01010101010101,266.1181972967972,1476.9607878055756
300000.0,14.15151515151515,265.6714967638092,1475.2292113809776
300000.0,14.292929292929292,265.2285234888536,1473.513138595513
300000.0,14.434343434343434,264.78929870793746,1471.8123146141777
300000.0,14.575757575757574,264.3538348828083,1470.1264347329884
300000.0,14.717171717171716,263.92214847287477,1468.45525147818
300000.0,14.858585858585858,263.4942418723948,1466.7984828158008
300000.0,15.0,263.0701164373063,1465.155878896916
400000.0,1.0,198.38241680928917,1087.8896607360896
400000.0,1.1414141414141414,202.46835024486498,1111.0939125938946
400000.0,1.2828282828282829,206.06623622494826,1132.30633317353
400000.0,1.4242424242424243,209.34582874950775,1152.5008753278373
400000.0,1.5656565656565657,212.42741611421604,1172.557566586487
400000.0,1.7070707070707072,215.38289995464075,1193.1854267569836
400000.0,1.8484848484848484,218.23859812445176,1214.543529426619
400000.0,1.9898989898989898,220.9904183479509,1236.1422123379148
400000.0,2.1313131313131315,223.62530016713097,1257.2973332827978
400000.0,2.2727272727272725,226.1339705554239,1277.5293876205258
400000.0,2.4141414141414144,228.51342101046447,1296.6214486685462
400000.0,2.5555555555555554,230.76532324144387,1314.5277465336803
400000.0,2.696969696969697,232.89406772128265,1331.2869817578376
400000.0,2.8383838383838382,234.90554879961928,1346.9729640589765
400000.0,2.9797979797979797,236.8062969957477,1361.668719412869
400000.0,3.121212121212121,238.6044411929611,1373.4920904147643
400000.0,3.2626262626262625,241.53662229059753,1398.9060643011433
400000.0,3.404040404040404,244.79713145816214,1421.8783455592634
