SampleRate_Hz,Mean_ToF_us,StdDev_ToF_us,Successful_Captures,Raw_ToFs_us
2777778,71.48507797538471,0.20955133888963656,10,"[np.float64(71.61381708401765), np.float64(71.51685126387271), np.float64(71.55022323025968), np.float64(71.44970193447321), np.float64(71.63972848770331), np.float64(70.87771782439063), np.float64(71.53523848210621), np.float64(71.6158871450917), np.float64(71.5137450808466), np.float64(71.53786922108547)]"
2777778,71.52174235425069,0.08006189016689197,10,"[np.float64(71.4213515277454), np.float64(71.47209163618464), np.float64(71.43063137418882), np.float64(71.60379625381458), np.float64(71.57911474329791), np.float64(71.56612762517813), np.float64(71.48851481295466), np.float64(71.61605503918729), np.float64(71.41678318329126), np.float64(71.62295734666428)]"
2830189,71.44644725820964,0.23911359404605678,10,"[np.float64(71.67110239578432), np.float64(70.98030598259786), np.float64(71.48882287396836), np.float64(71.69663701177085), np.float64(71.64432716803668), np.float64(71.61806266504477), np.float64(71.0933662061734), np.float64(71.31008353727175), np.float64(71.59349615560745), np.float64(71.3682685858412)]"
2830189,71.28359158835778,0.38672824642868275,10,"[np.float64(71.35621025953394), np.float64(70.95102513651649), np.float64(71.38130283192673), np.float64(71.04532305591937), np.float64(71.40101954521008), np.float64(71.77839920848301), np.float64(71.38734570209394), np.float64(71.76091288987286), np.float64(70.3862400236675), np.float64(71.3881372303539)]"
2884615,70.96501748023884,0.619927097514047,10,"[np.float64(71.40652653513055), np.float64(70.65126565158718), np.float64(70.85901599916747), np.float64(71.44295966706699), np.float64(71.40242579329463), np.float64(71.65222298648004), np.float64(69.42294393083138), np.float64(71.231403599075), np.float64(71.05220222628378), np.float64(70.5292084134714)]"
2884615,71.26532721853677,0.2968137625050796,10,"[np.float64(71.50073623135536), np.float64(71.53307766006668), np.float64(70.72774621349161), np.float64(70.93230182177996), np.float64(71.44828676981592), np.float64(71.57753154440697), np.float64(70.94031102419781), np.float64(71.52558189906469), np.float64(71.07944470822743), np.float64(71.38825431296121)]"
2941176,71.40440658459188,0.21710992220862102,10,"[np.float64(71.49149625221361), np.float64(71.29048615591527), np.float64(71.5234969123104), np.float64(70.90476264858057), np.float64(71.7339113918036), np.float64(71.32090667569773), np.float64(71.6615432642439), np.float64(71.33491732059227), np.float64(71.39962290979189), np.float64(71.38292231476953)]"
2941176,71.36039554859055,0.2612894225362146,10,"[np.float64(71.468111759833), np.float64(71.30905647759289), np.float64(70.7767907911879), np.float64(71.55997293495386), np.float64(71.64962862324367), np.float64(71.5238084142217), np.float64(71.1835338648958), np.float64(71.22116312845883), np.float64(71.68915381359929), np.float64(71.22273567791858)]"
3000000,71.21706469447841,0.22144127409063777,10,"[np.float64(71.37977489989989), np.float64(70.80401129264297), np.float64(71.23888085221604), np.float64(70.79669047045067), np.float64(71.40870228654903), np.float64(71.16812667615659), np.float64(71.33180384453183), np.float64(71.41927757958217), np.float64(71.2616820893938), np.float64(71.36169695336095)]"
3000000,71.17267366218115,0.4248361657262809,10,"[np.float64(71.14558934895905), np.float64(71.42476683443584), np.float64(71.36685999017809), np.float64(71.56020371839402), np.float64(70.0722429644353), np.float64(71.39522000402779), np.float64(71.26379665767728), np.float64(71.31243242932007), np.float64(71.44750875989149), np.float64(70.73811591449267)]"
